customer_id,first_name,last_name,gender,age,email,phone,city,state,signup_date
1,Janaki,Narasimhan,Male,41,duttharinakshi@example.org,+917161031639,Etawah,Meghalaya,2023-12-15
2,Maanas,Mahal,Male,31,htandon@example.org,0301050081,Narasaraopet,Kerala,2023-07-01
3,Andrew,Pandya,Male,32,vmitter@example.net,02048746074,Motihari,Gujarat,2023-06-22
4,Ishita,Salvi,Male,18,boserayaan@example.net,+915779540305,Pondicherry,Telangana,2021-08-09
5,Maanas,Loyal,Male,50,zaid34@example.net,3636048292,Panchkula,Sikkim,2022-09-04
6,Oeshi,Natarajan,Male,23,parmerijaya@example.com,+915535392969,Kozhikode,Tamil Nadu,2022-09-22
7,Dipta,Peri,Male,25,surindrajit@example.com,+911023014057,Panvel,Sikkim,2024-03-20
8,Hardik,Chakrabarti,Female,39,hiral16@example.org,09908300801,Udaipur,Madhya Pradesh,2025-12-25
9,Pallavi,Hora,Male,53,kapurchakradev@example.org,0091287722,Shimla,Jharkhand,2026-05-17
10,Mitali,Panchal,Male,35,vinayabobal@example.net,07080131939,Gandhidham,Maharashtra,2024-01-25
11,Reva,Bala,Female,42,triyasheth@example.org,05351797130,Thanjavur,Arunachal Pradesh,2025-04-20
12,Ishani,Pal,Female,22,madhavchana@example.net,+916521557305,Rewa,Meghalaya,2022-07-16
13,Ira,Bassi,Male,68,obaria@example.com,8770805746,Arrah,Rajasthan,2024-10-10
14,Vansha,Sankaran,Male,26,neelrama@example.org,+911746808976,Nanded,Tamil Nadu,2022-11-06
15,Nathan,Jayaraman,Male,45,kurianchaitaly@example.org,04642873009,Tumkur,Bihar,2024-10-24
16,Alka,Anand,Male,29,harini45@example.org,06392384211,Kishanganj,Goa,2021-08-22
17,Ekta,Deo,Male,54,rachana21@example.com,+914405037257,Nandyal,Tripura,2025-02-15
18,Sneha,Golla,Female,38,narangupkaar@example.com,04698532014,Tenali,Punjab,2022-01-10
19,Ati,Shah,Female,37,rupadhyay@example.net,+911776525050,Warangal,Sikkim,2025-10-03
20,Nidhi,Uppal,Female,42,lkara@example.org,+919933037540,Bhalswa Jahangir Pur,Karnataka,2021-11-27
21,Damyanti,Sankaran,Male,27,xbhandari@example.org,09199575125,Faridabad,Assam,2025-05-21
22,Januja,Uppal,Female,47,sankaranfalan@example.net,08111768910,Warangal,Himachal Pradesh,2024-08-02
23,Nathaniel,Deep,Male,21,sankarcharles@example.com,07276475882,Silchar,Chhattisgarh,2023-07-26
24,Onveer,Shroff,Female,37,wmani@example.net,6951092725,Sasaram,Assam,2023-08-06
25,Vanya,Seth,Female,18,ayaan21@example.org,04245421121,Singrauli,Assam,2022-09-13
26,Banjeet,Kashyap,Male,45,mugdha84@example.com,5121749567,Chittoor,Jharkhand,2025-08-20
27,Mugdha,Modi,Male,66,indiragandhi@example.net,8056773897,Panihati,Arunachal Pradesh,2024-07-30
28,Kamala,Badal,Female,70,sdani@example.org,+911835265251,Pallavaram,Mizoram,2023-03-19
29,Lajita,Virk,Female,55,vkade@example.com,02924412841,Hindupur,Maharashtra,2025-07-10
30,Ganga,Sarraf,Female,20,faggarwal@example.org,+914560046947,Tiruchirappalli,Gujarat,2022-07-31
31,Ekbal,Tiwari,Male,40,ogrover@example.net,7221404362,Avadi,Tamil Nadu,2023-08-13
32,Megha,Iyengar,Female,66,salvitamanna@example.net,4242397288,Vellore,Chhattisgarh,2025-02-16
33,Dhriti,Shankar,Male,24,npathak@example.org,02848536625,Bangalore,Uttar Pradesh,2023-01-11
34,Indali,Magar,Male,26,viswanathangaurangi@example.com,+916189439442,Karawal Nagar,Punjab,2026-05-16
35,Ekaja,Cheema,Female,67,isrivastava@example.net,4629940318,Orai,Sikkim,2022-02-13
36,Oeshi,Saxena,Female,70,edhitha05@example.net,9840807099,Hindupur,Uttar Pradesh,2024-04-21
37,Dominic,Koshy,Female,29,nagiethan@example.net,8454004546,Fatehpur,Tamil Nadu,2023-09-19
38,Rehaan,Jaggi,Male,18,ikshitaganesan@example.com,02905463108,Medininagar,Sikkim,2022-02-20
39,Laksh,Sachar,Male,48,lramesh@example.com,4002081125,Jalgaon,Mizoram,2022-03-26
40,Vinaya,Tank,Male,51,odhaliwal@example.net,05947646934,Gangtok,Uttar Pradesh,2024-09-24
41,Eiravati,Lata,Male,51,george68@example.org,+911133996404,Morena,Meghalaya,2024-10-10
42,Vedika,Loyal,Female,33,ekbal12@example.org,+913130829801,Panchkula,Goa,2024-07-26
43,Ekantika,Buch,Male,24,amurty@example.net,3931141277,Shivpuri,Manipur,2023-04-23
44,Chandani,Dara,Male,33,vanya45@example.net,07869700527,Nagercoil,Madhya Pradesh,2023-02-19
45,Viraj,Anand,Male,53,kthaman@example.net,8436455173,Davanagere,Uttar Pradesh,2025-05-20
46,Anya,Patla,Female,54,lallrachit@example.org,08724547323,Srikakulam,Assam,2025-01-09
47,Aahana,Mann,Male,44,jhanathan@example.org,03066146629,Tinsukia,Bihar,2022-06-17
48,Quincy,Amble,Male,61,odeep@example.com,7901592082,Bokaro,Assam,2026-02-27
49,Baljiwan,Aurora,Male,65,haritachada@example.net,+913343281530,Jalna,Nagaland,2022-08-24
50,Rayaan,Chakraborty,Male,43,gauravchoudhry@example.com,9706345040,Hindupur,Uttar Pradesh,2022-11-25
51,Chakradhar,Krishna,Female,33,bhargavabaghyawati@example.com,+913099532396,Akola,Meghalaya,2022-12-15
52,Radha,Nayar,Female,21,aarna43@example.org,04046522962,Phusro,Madhya Pradesh,2021-09-09
53,Ayush,Lad,Female,42,unni74@example.org,+913588124249,Dindigul,Maharashtra,2021-07-30
54,Tanay,Iyer,Male,65,devikapandya@example.org,+913806189057,Jorhat,Bihar,2022-08-24
55,Mohammed,Sawhney,Female,21,davekrisha@example.com,+912031740236,Bhavnagar,Sikkim,2025-12-11
56,Netra,Gandhi,Female,27,falguni22@example.net,+914199528383,Kumbakonam,Uttar Pradesh,2023-08-26
57,Onveer,Ganesan,Male,32,hemal67@example.org,+918765518247,Bangalore,Kerala,2025-04-26
58,Yutika,Pau,Female,42,uaggarwal@example.com,08082284141,Aligarh,Kerala,2024-12-10
59,Laban,Bumb,Male,44,uarora@example.org,+912366876842,Erode,Meghalaya,2022-04-20
60,Arin,Batta,Male,25,sharmaekta@example.org,6706452084,Thiruvananthapuram,Madhya Pradesh,2021-08-11
61,Zinal,Baria,Male,43,odeo@example.org,03788411335,Surendranagar Dudhrej,Maharashtra,2026-05-26
62,Triveni,Palan,Female,52,warhibuch@example.org,+918229289892,Rohtak,Punjab,2022-03-19
63,Shravya,Padmanabhan,Female,46,qpathak@example.com,00593265420,Parbhani,Gujarat,2024-06-09
64,Lipika,Lala,Male,29,vasanababu@example.com,07114693506,Buxar,Himachal Pradesh,2021-12-24
65,Amruta,Ghose,Female,44,choudharyomya@example.net,07653066205,Coimbatore,Nagaland,2024-09-10
66,Sai,Arora,Female,51,dalaltimothy@example.net,9802557175,Dhule,Tripura,2025-12-06
67,Aayush,Sarna,Female,54,sehgalaadhya@example.org,4102270121,Vellore,Assam,2025-09-13
68,Aachal,Parekh,Male,42,suhaniparsa@example.net,+913184505223,Aligarh,Tamil Nadu,2022-04-28
69,Nikita,Lanka,Female,41,robert83@example.net,+914257406506,Shimla,Himachal Pradesh,2026-04-11
70,Aarav,Nagy,Male,26,xbedi@example.com,+917607467984,Firozabad,Kerala,2022-10-25
71,Samesh,Mandal,Male,47,qabil85@example.com,+919898710677,Bikaner,Mizoram,2023-11-05
72,Aadi,Chand,Female,55,harsh29@example.com,5524822419,Mangalore,Uttar Pradesh,2022-08-09
73,Odika,Thaker,Male,49,lyogi@example.com,5363434444,Ambala,Madhya Pradesh,2023-01-15
74,Vivaan,Viswanathan,Male,48,radhika16@example.com,5507938602,Hubli–Dharwad,Sikkim,2023-03-23
75,Ethan,Ben,Female,23,dgrewal@example.org,05158775664,Solapur,Andhra Pradesh,2024-12-17
76,Timothy,Bali,Male,69,pnarayan@example.com,+914495710610,Mahbubnagar,Gujarat,2026-02-11
77,Krishna,Nagi,Male,20,dattaaarav@example.com,9550086213,Anantapur,Maharashtra,2021-12-31
78,Balvan,Bhargava,Female,24,janaki47@example.org,04316625637,Bikaner,Assam,2023-01-19
79,Vedika,Mittal,Female,26,memonfaras@example.com,3530837061,Kumbakonam,Andhra Pradesh,2021-12-19
80,Anamika,Sangha,Female,18,thakerluke@example.com,06365591715,Junagadh,Arunachal Pradesh,2024-09-30
81,Irya,Sethi,Male,43,mugdharajagopal@example.net,02283739284,Allahabad,Chhattisgarh,2024-08-13
82,Akshay,Murty,Male,50,anyachahal@example.com,+919071054961,Hosur,Haryana,2024-01-24
83,Maanas,Lad,Female,29,zdutta@example.org,06132861922,Gudivada,Haryana,2021-11-03
84,Anvi,Sant,Female,53,ilala@example.org,+915073449693,Udupi,Karnataka,2022-09-19
85,Ansh,Sridhar,Female,61,bdixit@example.net,05751440483,Kottayam,Maharashtra,2022-07-04
86,Vedhika,Ganesan,Female,38,mmane@example.net,07461731194,Tirupati,Uttar Pradesh,2022-01-01
87,Charles,Ramakrishnan,Male,27,akale@example.net,+915031994391,Meerut,Chhattisgarh,2022-06-02
88,Sai,Narang,Female,29,shauryanarula@example.net,08433328821,Danapur,Kerala,2025-05-30
89,Aarnav,Bose,Male,55,ubikachoudhry@example.org,+910374953210,Bidar,Kerala,2023-08-24
90,Eshana,Mohanty,Male,40,jeetnatarajan@example.com,05058847120,Kottayam,Arunachal Pradesh,2024-06-15
91,Champak,Oza,Female,53,fseshadri@example.org,1956442557,Jorhat,Gujarat,2024-07-02
92,Pavani,Krishnan,Female,43,brijeshchawla@example.org,+919937306446,Kanpur,Meghalaya,2022-11-05
93,Ojasvi,Banik,Female,35,mugdhasoman@example.com,06353635999,Danapur,Maharashtra,2021-10-24
94,Ati,Sahota,Male,25,dayitabhasin@example.com,5479350108,Ujjain,Madhya Pradesh,2023-12-30
95,Chaaya,Krishnan,Female,67,parthsaraf@example.net,05907125201,Guntur,Andhra Pradesh,2025-07-22
96,Girish,Malhotra,Male,19,varmaansh@example.org,+918059883353,Salem,Arunachal Pradesh,2021-07-07
97,Ronith,Kalla,Male,53,hiteshrau@example.com,06995960518,Aizawl,Chhattisgarh,2023-12-16
98,Daniel,Shetty,Male,29,crajagopal@example.org,+914301665388,Bhind,Bihar,2023-03-01
